"day","worm","dilution.factor","cfu","sample.volume","total.volume","bacteria","repeat.","genotype","group"
3,1,1,42,45,500,"Sen",0,"pmk-1","control.B"
3,2,1,49,45,500,"Sen",0,"pmk-1","control.B"
3,3,1,66,45,500,"Sen",0,"pmk-1","control.B"
3,4,1,54,45,500,"Sen",0,"pmk-1","control.B"
3,5,1,36,45,500,"Sen",0,"pmk-1","control.B"
3,6,1,53,45,500,"Sen",0,"pmk-1","control.B"
3,7,1,59,45,500,"Sen",0,"pmk-1","control.B"
3,8,1,37,45,500,"Sen",0,"pmk-1","control.B"
3,9,1,87,45,500,"Sen",0,"pmk-1","control.B"
3,10,1,7,45,500,"Sen",0,"pmk-1","control.B"
3,1,10,6,45,500,"Sen",0,"pmk-1","control.B"
3,2,10,6,45,500,"Sen",0,"pmk-1","control.B"
3,3,10,16,45,500,"Sen",0,"pmk-1","control.B"
3,4,10,5,45,500,"Sen",0,"pmk-1","control.B"
3,5,10,4,45,500,"Sen",0,"pmk-1","control.B"
3,6,10,4,45,500,"Sen",0,"pmk-1","control.B"
3,7,10,13,45,500,"Sen",0,"pmk-1","control.B"
3,8,10,4,45,500,"Sen",0,"pmk-1","control.B"
3,9,10,15,45,500,"Sen",0,"pmk-1","control.B"
4,1,1,351,300,500,"Sen",0,"pmk-1","early.exp"
4,2,1,289,300,500,"Sen",0,"pmk-1","early.exp"
4,3,1,1,300,500,"Sen",0,"pmk-1","early.exp"
4,4,1,0,300,500,"Sen",0,"pmk-1","early.exp"
4,5,1,0,300,500,"Sen",0,"pmk-1","early.exp"
4,1,100,14,100,500,"Pae",0,"pmk-1","early.exp"
4,2,100,60,100,500,"Pae",0,"pmk-1","early.exp"
4,3,100,8,100,500,"Pae",0,"pmk-1","early.exp"
4,4,100,39,100,500,"Pae",0,"pmk-1","early.exp"
4,5,100,45,100,500,"Pae",0,"pmk-1","early.exp"
4,1,10,58,45,500,"Pae",1,"pmk-1","early.exp"
4,4,10,29,45,500,"Pae",1,"pmk-1","early.exp"
4,5,10,69,45,500,"Pae",1,"pmk-1","early.exp"
4,1,100,56,45,500,"Pae",1,"pmk-1","early.exp"
4,2,100,153,45,500,"Pae",1,"pmk-1","early.exp"
4,3,100,7,45,500,"Pae",1,"pmk-1","early.exp"
4,4,100,9,45,500,"Pae",1,"pmk-1","early.exp"
4,1,10,91,200,500,"Sen",0,"pmk-1","control.B"
4,2,10,172,200,500,"Sen",0,"pmk-1","control.B"
4,3,10,157,200,500,"Sen",0,"pmk-1","control.B"
4,4,10,21,200,500,"Sen",0,"pmk-1","control.B"
4,5,10,125,200,500,"Sen",0,"pmk-1","control.B"
4,6,10,55,200,500,"Sen",0,"pmk-1","control.B"
4,7,10,148,200,500,"Sen",0,"pmk-1","control.B"
4,8,10,324,200,500,"Sen",0,"pmk-1","control.B"
4,9,10,184,200,500,"Sen",0,"pmk-1","control.B"
4,10,10,179,200,500,"Sen",0,"pmk-1","control.B"
5,1,10,70,100,500,"Sen",0,"pmk-1","control.B"
5,2,10,752,100,500,"Sen",0,"pmk-1","control.B"
5,3,10,400,100,500,"Sen",0,"pmk-1","control.B"
5,4,10,680,100,500,"Sen",0,"pmk-1","control.B"
5,5,10,351,100,500,"Sen",0,"pmk-1","control.B"
5,6,10,477,100,500,"Sen",0,"pmk-1","control.B"
