"day","status","genotype","group"
1,0,"pmk-1","controls"
1,0,"pmk-1","controls"
2,0,"pmk-1","controls"
2,1,"pmk-1","controls"
2,1,"pmk-1","controls"
2,1,"pmk-1","controls"
3,1,"pmk-1","controls"
3,1,"pmk-1","controls"
3,1,"pmk-1","controls"
4,0,"pmk-1","controls"
4,0,"pmk-1","controls"
4,0,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
5,0,"pmk-1","controls"
5,0,"pmk-1","controls"
5,1,"pmk-1","controls"
5,1,"pmk-1","controls"
5,1,"pmk-1","controls"
5,1,"pmk-1","controls"
6,1,"pmk-1","controls"
6,1,"pmk-1","controls"
6,1,"pmk-1","controls"
7,1,"pmk-1","controls"
7,1,"pmk-1","controls"
7,1,"pmk-1","controls"
7,1,"pmk-1","controls"
7,1,"pmk-1","controls"
8,1,"pmk-1","controls"
8,1,"pmk-1","controls"
9,1,"pmk-1","controls"
9,1,"pmk-1","controls"
9,1,"pmk-1","controls"
9,1,"pmk-1","controls"
9,1,"pmk-1","controls"
10,1,"pmk-1","controls"
10,1,"pmk-1","controls"
1,0,"pmk-1","controls"
1,0,"pmk-1","controls"
1,0,"pmk-1","controls"
1,0,"pmk-1","controls"
1,0,"pmk-1","controls"
1,0,"pmk-1","controls"
1,0,"pmk-1","controls"
2,0,"pmk-1","controls"
2,1,"pmk-1","controls"
2,1,"pmk-1","controls"
2,1,"pmk-1","controls"
3,0,"pmk-1","controls"
3,0,"pmk-1","controls"
3,1,"pmk-1","controls"
3,1,"pmk-1","controls"
3,1,"pmk-1","controls"
3,1,"pmk-1","controls"
3,1,"pmk-1","controls"
4,0,"pmk-1","controls"
4,0,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
4,1,"pmk-1","controls"
