"Experiment","Worm.Age","Name","WITS.number","DNA","Proportion"
"Exp2",3,"1","2.WITS19",2460594.223,0.999972239647922
"Exp2",3,"1","3.WITS17",0,0
"Exp2",3,"1","4.WITS11",0,0
"Exp2",3,"1","5.WITS13",0,0
"Exp2",3,"1","6.WITS20",0.034041667,1.38343501228885e-08
"Exp2",3,"1","7.WITS21",0.058798923,2.38955656205309e-08
"Exp2",3,"1","8.WITS2",17.27706631,7.0213066953772e-06
"Exp2",3,"1","9.WITS1",50.93895133,2.07013154670715e-05
"Exp2",3,"2","2.WITS19",2443486.815,0.999987119782402
"Exp2",3,"2","3.WITS17",0,0
"Exp2",3,"2","4.WITS11",0,0
"Exp2",3,"2","5.WITS13",0,0
"Exp2",3,"2","6.WITS20",0.072382454,2.96222272426063e-08
"Exp2",3,"2","7.WITS21",0,0
"Exp2",3,"2","8.WITS2",14.73126357,6.02871017665783e-06
"Exp2",3,"2","9.WITS1",16.66940123,6.82188519379628e-06
"Exp2",3,"3","2.WITS19",457941.4975,0.999871468164951
"Exp2",3,"3","3.WITS17",0,0
"Exp2",3,"3","4.WITS11",0,0
"Exp2",3,"3","5.WITS13",0,0
"Exp2",3,"3","6.WITS20",0.027090833,5.91502432371757e-08
"Exp2",3,"3","7.WITS21",0,0
"Exp2",3,"3","8.WITS2",16.80467045,3.6691390945346e-05
"Exp2",3,"3","9.WITS1",42.0358661,9.17812938605598e-05
"Exp2",3,"4","2.WITS19",1072679.547,0.999965059017895
"Exp2",3,"4","3.WITS17",2.818478621,2.62742041504492e-06
"Exp2",3,"4","4.WITS11",0,0
"Exp2",3,"4","5.WITS13",0,0
"Exp2",3,"4","6.WITS20",0.017517115,1.63296699221937e-08
"Exp2",3,"4","7.WITS21",0,0
"Exp2",3,"4","8.WITS2",14.73126357,1.37326649756502e-05
"Exp2",3,"4","9.WITS1",19.9145272,1.85645670438624e-05
"Exp2",4,"5","2.WITS19",0,0
"Exp2",4,"5","3.WITS17",3193566.947,0.999987363327822
"Exp2",4,"5","4.WITS11",0,0
"Exp2",4,"5","5.WITS13",0,0
"Exp2",4,"5","6.WITS20",0,0
"Exp2",4,"5","7.WITS21",0,0
"Exp2",4,"5","8.WITS2",11.32035379,3.54469185279936e-06
"Exp2",4,"5","9.WITS1",29.03621477,9.09198032505585e-06
"Exp2",4,"6","2.WITS19",13.4254855,6.94193518916089e-05
"Exp2",4,"6","3.WITS17",193350.9056,0.999762321772844
"Exp2",4,"6","4.WITS11",0,0
"Exp2",4,"6","5.WITS13",0,0
"Exp2",4,"6","6.WITS20",0,0
"Exp2",4,"6","7.WITS21",0,0
"Exp2",4,"6","8.WITS2",8.579460913,4.43619425278774e-05
"Exp2",4,"6","9.WITS1",23.96127922,0.000123896932736345
"Exp2",4,"7","2.WITS19",0,0
"Exp2",4,"7","3.WITS17",1733275.47,0.999996376395123
"Exp2",4,"7","4.WITS11",0,0
"Exp2",4,"7","5.WITS13",0,0
"Exp2",4,"7","6.WITS20",0,0
"Exp2",4,"7","7.WITS21",0,0
"Exp2",4,"7","8.WITS2",6.280728206,3.62360487748819e-06
"Exp2",4,"7","9.WITS1",0,0
"Exp2",4,"8","2.WITS19",0,0
"Exp2",4,"8","3.WITS17",1385323.383,0.999992277553008
"Exp2",4,"8","4.WITS11",0,0
"Exp2",4,"8","5.WITS13",0,0
"Exp2",4,"8","6.WITS20",0.069920536,5.04719669792559e-08
"Exp2",4,"8","7.WITS21",0.211312372,1.52535316117889e-07
"Exp2",4,"8","8.WITS2",10.4169361,7.51943970887493e-06
"Exp2",4,"8","9.WITS1",0,0
"Exp2",5,"10","2.WITS19",0,0
"Exp2",5,"10","3.WITS17",0.611636874,3.13784120218652e-06
"Exp2",5,"10","4.WITS11",194840.843,0.999579408997755
"Exp2",5,"10","5.WITS13",0,0
"Exp2",5,"10","6.WITS20",1.279391044,6.56357734830033e-06
"Exp2",5,"10","7.WITS21",0,0
"Exp2",5,"10","8.WITS2",26.5515574,0.000136215742270536
"Exp2",5,"10","9.WITS1",53.54020134,0.000274673841423782
"Exp2",5,"11","2.WITS19",0,0
"Exp2",5,"11","3.WITS17",2.742955832,1.12338311841614e-05
"Exp2",5,"11","4.WITS11",244118.1106,0.999790667966115
"Exp2",5,"11","5.WITS13",0,0
"Exp2",5,"11","6.WITS20",0.622887159,2.55104697981439e-06
"Exp2",5,"11","7.WITS21",0,0
"Exp2",5,"11","8.WITS2",12.56058885,5.14421461214981e-05
"Exp2",5,"11","9.WITS1",35.18600823,0.000144105009599124
"Exp2",5,"12","2.WITS19",0,0
"Exp2",5,"12","3.WITS17",2.742955832,1.62019710821737e-05
"Exp2",5,"12","4.WITS11",169231.0309,0.999606423428637
"Exp2",5,"12","5.WITS13",0,0
"Exp2",5,"12","6.WITS20",0.368108082,2.17432465740061e-06
"Exp2",5,"12","7.WITS21",0,0
"Exp2",5,"12","8.WITS2",25.47006187,0.000150445443220288
"Exp2",5,"12","9.WITS1",38.05046776,0.000224754832403259
"Exp2",5,"9","2.WITS19",0,0
"Exp2",5,"9","3.WITS17",2.70595674,2.3380094617157e-05
"Exp2",5,"9","4.WITS11",115675.131,0.999459994187501
"Exp2",5,"9","5.WITS13",0,0
"Exp2",5,"9","6.WITS20",0.271471396,2.3455759031579e-06
"Exp2",5,"9","7.WITS21",0,0
"Exp2",5,"9","8.WITS2",8.943757185,7.72761390184596e-05
"Exp2",5,"9","9.WITS1",50.5778076,0.000437004002959915
"Exp2",6,"13","2.WITS19",0,0
"Exp2",6,"13","3.WITS17",0,0
"Exp2",6,"13","4.WITS11",0,0
"Exp2",6,"13","5.WITS13",145834.407,0.999553100036656
"Exp2",6,"13","6.WITS20",0.116688311,7.99784943741646e-07
"Exp2",6,"13","7.WITS21",0,0
"Exp2",6,"13","8.WITS2",12.30212116,8.43190821388572e-05
"Exp2",6,"13","9.WITS1",52.78372068,0.000361781096261892
"Exp2",6,"14","2.WITS19",0,0
"Exp2",6,"14","3.WITS17",0,0
"Exp2",6,"14","4.WITS11",0,0
"Exp2",6,"14","5.WITS13",86580.48215,0.999402509351462
"Exp2",6,"14","6.WITS20",0.162667755,1.87768141849703e-06
"Exp2",6,"14","7.WITS21",0,0
"Exp2",6,"14","8.WITS2",13.00349216,0.000150099911346313
"Exp2",6,"14","9.WITS1",38.5957958,0.00044551305577289
"Exp2",6,"15","2.WITS19",0,0
"Exp2",6,"15","3.WITS17",0,0
"Exp2",6,"15","4.WITS11",0,0
"Exp2",6,"15","5.WITS13",99682.74757,0.99964555615687
"Exp2",6,"15","6.WITS20",0,0
"Exp2",6,"15","7.WITS21",0,0
"Exp2",6,"15","8.WITS2",15.57112532,0.000156151456595527
"Exp2",6,"15","9.WITS1",19.77333845,0.000198292386534067
"Exp2",6,"16","2.WITS19",0,0
"Exp2",6,"16","3.WITS17",0,0
"Exp2",6,"16","4.WITS11",0,0
"Exp2",6,"16","5.WITS13",80123.51621,0.999374585445635
"Exp2",6,"16","6.WITS20",5.397481509,6.73223805027435e-05
"Exp2",6,"16","7.WITS21",0,0
"Exp2",6,"16","8.WITS2",16.92154449,0.000211061150455139
"Exp2",6,"16","9.WITS1",27.82274658,0.000347031023407285
"Exp2",7,"18","2.WITS19",0,0
"Exp2",7,"18","3.WITS17",0,0
"Exp2",7,"18","4.WITS11",0,0
"Exp2",7,"18","5.WITS13",193312.5279,0.105491088766897
"Exp2",7,"18","6.WITS20",1639108.697,0.894465366172574
"Exp2",7,"18","7.WITS21",0,0
"Exp2",7,"18","8.WITS2",10.13211242,5.52911692949e-06
"Exp2",7,"18","9.WITS1",69.66425547,3.80159435992019e-05
"Exp2",7,"19","2.WITS19",0,0
"Exp2",7,"19","3.WITS17",0,0
"Exp2",7,"19","4.WITS11",0,0
"Exp2",7,"19","5.WITS13",0,0
"Exp2",7,"19","6.WITS20",4289449.537,0.999956448255967
"Exp2",7,"19","7.WITS21",0,0
"Exp2",7,"19","8.WITS2",2.175103864,5.07060198673989e-07
"Exp2",7,"19","9.WITS1",184.6460408,4.30446838341939e-05
"Exp2",7,"20","2.WITS19",0,0
"Exp2",7,"20","3.WITS17",0,0
"Exp2",7,"20","4.WITS11",0,0
"Exp2",7,"20","5.WITS13",119.2120071,1.57558144019392e-05
"Exp2",7,"20","6.WITS20",7566061.25,0.999978607093716
"Exp2",7,"20","7.WITS21",0,0
"Exp2",7,"20","8.WITS2",10.34498821,1.36725920645127e-06
"Exp2",7,"20","9.WITS1",32.30650668,4.26983267547963e-06
"Exp2",7,"21","2.WITS19",0,0
"Exp2",7,"21","3.WITS17",0,0
"Exp2",7,"21","4.WITS11",0,0
"Exp2",7,"21","5.WITS13",0,0
"Exp2",7,"21","6.WITS20",3813330.776,0.999990175335038
"Exp2",7,"21","7.WITS21",0,0
"Exp2",7,"21","8.WITS2",4.927878597,1.29226402630953e-06
"Exp2",7,"21","9.WITS1",32.53718675,8.53240093616294e-06
"Exp2",8,"22","2.WITS19",0,0
"Exp2",8,"22","3.WITS17",0,0
"Exp2",8,"22","4.WITS11",0,0
"Exp2",8,"22","5.WITS13",0,0
"Exp2",8,"22","6.WITS20",1540126.371,0.999982630589716
"Exp2",8,"22","7.WITS21",0.391013896,2.53879883937922e-07
"Exp2",8,"22","8.WITS2",15.78846832,1.02512328734198e-05
"Exp2",8,"22","9.WITS1",10.57206927,6.86429752678477e-06
